Title,Location,Price per night,Discounted price per night,Price per week,Stars,Number Traveler,Number Room,Number Bed,Number Bathroom,Equipment,url,latitude,longitude,jours reserves,periode reservation
Charmant studio à 2mn à pied de la plage,"Châtelaillon-Plage, Nouvelle-Aquitaine, France",58 € ,,499 €,"4,92 ·",2 voyageurs , 1 chambre , 1 lit , 1 salle de bain,"['Accès plage ou bord de mer', 'Cuisine', 'Wifi', 'Parking gratuit dans la rue', 'Animaux acceptés', 'TV avec abonnement standard au câble', 'Dépôt de bagages autorisé', 'Lit parapluie', 'Livres et jouets pour enfants']",https://www.airbnb.fr/rooms/26102364?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260998_RroQKORUObHxeN16&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.0726,-1.0911,8,01/06/2024 - 30/09/2024
Proche Thalasso: Location vue mer à Châtelaillon,"Châtelaillon-Plage, Nouvelle-Aquitaine, France",67 € ,,570 €,"4,92 ·",4 voyageurs , 1 chambre , 2 lits , 1 salle de bain,"['Vue sur la baie', 'Vue sur le jardin', 'Accès plage ou bord de mer', 'Cuisine', 'Wifi', 'Espace de travail dédié', 'Parking gratuit sur place', 'Télévision', 'Ascenseur', 'Lave-linge']",https://www.airbnb.fr/rooms/33134892?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260998_Kl6mAicDq8gO4gFq&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.06056,-1.08824,16,01/06/2024 - 30/09/2024
Appartement 2 pièces face à la mer,"Châtelaillon-Plage, Nouvelle-Aquitaine, France",84 € ,,738 €,"4,94 ·",2 voyageurs , 1 chambre , 2 lits , 1 salle de bain,"['Accès plage ou bord de mer', 'Cuisine', 'Wifi', 'Parking gratuit dans la rue', 'Animaux acceptés', 'TV HD', 'Lave-linge', 'Patio ou balcon\xa0: privé(e)', 'Dépôt de bagages autorisé']",https://www.airbnb.fr/rooms/42330812?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260998_XZansJdzkEZGi4eH&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.08048,-1.0953,29,01/06/2024 - 30/09/2024
"Maison de bord de mer, 50m plage et marché","Châtelaillon-Plage, Nouvelle-Aquitaine, France",166 € ,,1 447 €,,6 voyageurs , 3 chambres , 5 lits , 1 salle de bain,"['Accès à la plage', 'Cuisine', 'Wifi', 'Parking gratuit sur place', 'Télévision', 'Lave-linge (Gratuit) dans le logement', 'Patio ou balcon\xa0: privé(e)', 'Arrière-cour privée – Clôture intégrale']",https://www.airbnb.fr/rooms/54209009?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260998_0CHtSd3khIpej%2BUg&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.07115,-1.09276,33,01/06/2024 - 30/09/2024
Maisonette pour 4 Personnes à 500 mètres de la mer,"Yves, Nouvelle-Aquitaine, France",55 € ,,471 €,,4 voyageurs , 1 chambre , 2 lits , 1 salle de bain,"['Cuisine', 'Wifi', 'Parking gratuit sur place', 'Animaux acceptés', 'Télévision', 'Lave-linge', 'Réfrigérateur', 'Four à micro-ondes']",https://www.airbnb.fr/rooms/626917411118318567?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260999_60MR6L3ixYRHiUOI&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.055,-1.0818,0,01/06/2024 - 30/09/2024
⭐️ Studio principauté du Casino ⭐️,"Châtelaillon-Plage, Nouvelle-Aquitaine, France",65 €,59 € ,536 €,"4,67 ·",2 voyageurs , Studio , 1 lit , 1 salle de bain,"['Accès à la plage', 'Cuisine', 'Parking gratuit sur place', 'Piscine Partagé', 'Animaux acceptés', 'Télévision', 'Patio ou balcon', 'Réfrigérateur']",https://www.airbnb.fr/rooms/580824837347842777?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260999_u8WlJwn%2FrSotogu2&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.07567,-1.09386,30,01/06/2024 - 30/09/2024
Agréable maison à 100m de la plage et du parc.,"Châtelaillon-Plage, Nouvelle-Aquitaine, France",110 € ,,942 €,,4 voyageurs , 1 chambre , 2 lits , 1 salle de bain,"['Accès plage ou bord de mer\xa0: Public ou partagé', 'Cuisine', 'Wifi', 'Parking gratuit sur place', 'Animaux acceptés', 'TV HD 55"" avec télévision par câble haut de gamme', 'Lave-linge (Gratuit) dans le logement', 'Climatisation centrale', 'Baignoire']",https://www.airbnb.fr/rooms/53898385?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260999_xznd0Vt7gVYeQMPO&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.07763,-1.09162,13,01/06/2024 - 30/09/2024
Studio refait neuf avec balcon,"Châtelaillon-Plage, Nouvelle-Aquitaine, France",50 € ,,463 €,,2 voyageurs , Studio , 1 lit , 1 salle de bain,"['Accès à la plage', 'Cuisine', 'Piscine Partagé', 'Télévision', 'Lave-linge', 'Réfrigérateur', 'Four à micro-ondes']",https://www.airbnb.fr/rooms/44574284?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260999_Bhwyx78fpPx10QW5&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.0766,-1.0922,13,01/06/2024 - 30/09/2024
Appartement mezzanine.4 pers,"Châtelaillon-Plage, Nouvelle-Aquitaine, France",63 € ,,540 €,"5,0 ·",4 voyageurs , 1 chambre , 2 lits , 1 salle de bain,"['Accès à la plage', 'Cuisine', 'Garage résidentiel gratuit sur place', 'Télévision', 'Patio ou balcon\xa0: privé(e)', 'Four à micro-ondes', 'Séjours longue durée autorisés']",https://www.airbnb.fr/rooms/884850119031277924?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260999_eZG%2BqodlRkAFnS27&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.0756,-1.09268,0,01/06/2024 - 30/09/2024
Maison Chatelaillon-Plage 10mn de La Rochelle,"Châtelaillon-Plage, Nouvelle-Aquitaine, France",130 € ,,1 076 €,,6 voyageurs , 2 chambres , 2 lits , 1 salle de bain,"['Vue sur le jardin', 'Vue sur la cour', 'Cuisine', 'Wifi', 'Espace de travail dédié', 'Parking gratuit sur place', 'Animaux acceptés', 'TV 102""', 'Lave-linge (Gratuit) dans le logement', 'Climatisation\xa0: système split sans évacuation']",https://www.airbnb.fr/rooms/31707183?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696260999_OoE4mZd812zC56sG&previous_page_section_name=1000&federated_search_id=79d2fc68-a00a-46db-ba7d-1fb25860b828,46.06645,-1.08294,14,01/06/2024 - 30/09/2024
