Title,Subtitle,Location,Price per night,Discounted price per night,Price per week,Stars,Number Traveler,Number Room,Number Bed,Number Bathroom,Equipment,url,latitude,longitude,jours reserves,periode reservation,City,Number annonce,euros,type_logement,Test_Equipment
Proche Thalasso: Location vue mer a Chatelaillon,,"Chatelaillon-Plage, Nouvelle-Aquitaine, France",67 EUR ,,570 EUR,,4 voyageurs ,1 chambre, 2 lits , 1 salle de bain,"['Vue sur la baie', 'Vue sur le jardin', 'Acces plage ou bord de mer', 'Cuisine', 'Wifi', 'Espace de travail dedie', 'Parking gratuit sur place', 'Television', 'Ascenseur', 'Lave-linge']",https://www.airbnb.fr/rooms/33134892?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696863527_CkLPZOe060ogXb4B&previous_page_section_name=1000&federated_search_id=1d5b665a-ab2d-4882-90da-07033c8a19ba,46.06056,-1.08824,16,01/06/2024 - 30/09/2024,Chatelaillon-Plage,33134892,67,Non identifie,"'vue sur la baie', 'vue sur le jardin', 'acces plage ou bord de mer', 'cuisine', 'wifi', 'espace de travail dedie', 'parking gratuit sur place', 'television', 'ascenseur', 'lave-linge'"
"Studio avec patio ,calme proche  mer",Logement entier : appartement en residence . Chez Kevin2 voyageurs *  * 1 chambre *  * 1 lit *  * 1 salle de bain,"Angoulins, Nouvelle-Aquitaine, France",49 EUR ,,444 EUR,"4,81 *",2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Wifi', 'Espace de travail dedie', 'Parking gratuit sur place', 'Television', 'Patio ou balcon\xa0: prive(e)', 'Depot de bagages autorise', 'Seche-cheveux', 'Refrigerateur']",https://www.airbnb.fr/rooms/52064058?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865892_748L%2FBR853nNTEJR&previous_page_section_name=1000&federated_search_id=22ef6c11-49bb-449c-bb4c-ababbd9e6c29,46.11014,-1.10895,0,01/06/2024 - 30/09/2024,Angoulins,52064058,49,appartement,"'cuisine', 'wifi', 'espace de travail dedie', 'parking gratuit sur place', 'television', 'patio ou balcon\xa0: prive(e)', 'depot de bagages autorise', 'seche-cheveux', 'refrigerateur'"
Studio en duplex 4 personnes,Logement entier : appartement . Chez Stephanie4 voyageurs *  * 1 chambre *  * 2 lits *  * 1 salle de bain,"Yves, Nouvelle-Aquitaine, France",56 EUR ,,480 EUR,"4,37 *",4 voyageurs ,1 chambre, 2 lits , 1 salle de bain,"['Acces plage ou bord de mer', 'Cuisine', 'Espace de travail dedie', 'Parking gratuit sur place', 'Animaux acceptes', 'Television', 'Lave-linge', 'Patio ou balcon', 'Seche-cheveux']",https://www.airbnb.fr/rooms/51904470?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865892_5r1KoQcnT07fxa5u&previous_page_section_name=1000&federated_search_id=22ef6c11-49bb-449c-bb4c-ababbd9e6c29,46.0539,-1.0811,0,01/06/2024 - 30/09/2024,Yves,51904470,56,appartement,"'acces plage ou bord de mer', 'cuisine', 'espace de travail dedie', 'parking gratuit sur place', 'animaux acceptes', 'television', 'lave-linge', 'patio ou balcon', 'seche-cheveux'"
"2P - Appart'hotel - Plage immediate, Stationnement",Logement entier : appartement . Chez Xbb2 voyageurs *  * 1 chambre *  * 1 lit *  * 1 salle de bain,"Chatelaillon-Plage, Poitou-Charentes, France",97 EUR ,,745 EUR,"4,66 *",2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Vue panoramique sur la ville', 'Acces plage ou bord de mer', 'Cuisine', 'Wifi', 'Espace de travail dedie', 'Parking gratuit sur place', 'TV 32"" avec abonnement standard au cable', 'Lave-linge (Gratuit) dans le logement', 'Seche-cheveux', 'Refrigerateur']",https://www.airbnb.fr/rooms/11333771?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865892_9hsy8t6ppOI4h2iu&previous_page_section_name=1000&federated_search_id=22ef6c11-49bb-449c-bb4c-ababbd9e6c29,46.065,-1.0915,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,11333771,97,appartement,"'vue panoramique sur la ville', 'acces plage ou bord de mer', 'cuisine', 'wifi', 'espace de travail dedie', 'parking gratuit sur place', 'tv 32"" avec abonnement standard au cable', 'lave-linge (gratuit) dans le logement', 'seche-cheveux', 'refrigerateur'"
"Charmant studio de bord de mer, au calme",,"Aytre, Nouvelle-Aquitaine, France",42 EUR,38 EUR ,342 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Parking gratuit sur place', 'Television', 'Lave-linge', 'Seche-cheveux']",https://www.airbnb.fr/rooms/43508466?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865892_VzAyjA09zW5unzsz&previous_page_section_name=1000&federated_search_id=22ef6c11-49bb-449c-bb4c-ababbd9e6c29,46.12702,-1.12655,0,01/06/2024 - 30/09/2024,Aytre,43508466,42,appartement,"'cuisine', 'parking gratuit sur place', 'television', 'lave-linge', 'seche-cheveux'"
Les beaux reves Benedicte et Marc,Logement entier : logement . Chez Marc6 voyageurs *  * 1 chambre *  * 3 lits *  * 1 salle de bain,"Angoulins, Nouvelle-Aquitaine, France",95 EUR ,,811 EUR,"4,97 *",6 voyageurs ,1 chambre, 3 lits , 1 salle de bain,"['Cuisine', 'Wifi', 'Television', 'Lave-linge', 'Seche-cheveux', 'Four a micro-ondes']",https://www.airbnb.fr/rooms/48668729?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866201_yDzVwrc0J8b6NWFr&previous_page_section_name=1000&federated_search_id=6cc3d322-cf04-4f09-b3f5-b189af65d315,46.10413,-1.10831,0,01/06/2024 - 30/09/2024,Angoulins,48668729,95,logement,"'cuisine', 'wifi', 'television', 'lave-linge', 'seche-cheveux', 'four a micro-ondes'"
Charmant gite  proche plage!,Logement entier : appartement . Chez Chris4 voyageurs *  * Studio *  * 2 lits *  * 1 salle de bain,"Thaire, Aquitaine-Limousin-Poitou-Charentes, France",40 EUR ,,295 EUR,"4,87 *",4 voyageurs ,1 chambre, 2 lits , 1 salle de bain,"['Cuisine', 'Wifi', 'Parking gratuit sur place', 'Animaux acceptes', 'Television', 'Lave-linge', 'Depot de bagages autorise', 'Seche-cheveux', 'Refrigerateur']",https://www.airbnb.fr/rooms/15908982?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866201_fXO537xqWSLI3ZUi&previous_page_section_name=1000&federated_search_id=6cc3d322-cf04-4f09-b3f5-b189af65d315,46.07329,-1.00333,0,01/06/2024 - 30/09/2024,Thaire,15908982,40,appartement,"'cuisine', 'wifi', 'parking gratuit sur place', 'animaux acceptes', 'television', 'lave-linge', 'depot de bagages autorise', 'seche-cheveux', 'refrigerateur'"
Votre CHEZ VOUS cozy a deux pas de la mer ...,Logement entier : logement de vacances . Chez Ludovic2 voyageurs *  * 1 chambre *  * 1 lit *  * 1 salle de bain,"Chatelaillon-Plage, Nouvelle-Aquitaine, France",95 EUR ,,834 EUR,"4,91 *",2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Vue sur le jardin', 'Acces plage\xa0: Public ou partage', 'Cuisine', 'Wifi rapide (426\xa0Mbit/s)', 'Espace de travail dedie', 'Parking gratuit sur place', 'Animaux acceptes', 'Television', 'Lave-linge (Gratuit) dans le logement', 'Seche-linge (Gratuit) dans le logement']",https://www.airbnb.fr/rooms/592695376972453315?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866201_pi1O%2FuE6Pq3IJani&previous_page_section_name=1000&federated_search_id=6cc3d322-cf04-4f09-b3f5-b189af65d315,46.07926,-1.0859,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,592695376972453315,95,logement de vacances,"'vue sur le jardin', 'acces plage\xa0: public ou partage', 'cuisine', 'wifi rapide (426\xa0mbit/s)', 'espace de travail dedie', 'parking gratuit sur place', 'animaux acceptes', 'television', 'lave-linge (gratuit) dans le logement', 'seche-linge (gratuit) dans le logement'"
Maison de vacances en front de mer - Chatelaillon,Logement entier . Chez Lionel5 voyageurs *  * 1 chambre *  * 2 lits *  * 1 salle de bain,"Chatelaillon-Plage, Nouvelle-Aquitaine, France",122 EUR ,,1 169 EUR,,5 voyageurs ,1 chambre, 2 lits , 1 salle de bain,"['Vue sur la baie', 'Acces plage ou bord de mer\xa0: Public ou partage', 'Cuisine', 'Wifi', 'Espace de travail dedie', 'Parking gratuit dans la rue', 'Television', 'Livres et jouets pour enfants de Entre 2 et 5\xa0ans, Entre 5 et 10\xa0ans et Plus de 10\xa0ans']",https://www.airbnb.fr/rooms/608458361945360077?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696865892_iIooHAi3oL6sPLeR&previous_page_section_name=1000&federated_search_id=22ef6c11-49bb-449c-bb4c-ababbd9e6c29,46.0523,-1.08434,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,608458361945360077,122,maison,"'vue sur la baie', 'acces plage ou bord de mer\xa0: public ou partage', 'cuisine', 'wifi', 'espace de travail dedie', 'parking gratuit dans la rue', 'television', 'livres et jouets pour enfants de entre 2 et 5\xa0ans, entre 5 et 10\xa0ans et plus de 10\xa0ans'"
Petite maison Coeur de village,Logement entier : logement . Chez Joce2 voyageurs *  * 1 chambre *  * 1 lit *  * 1 salle de bain,"Saint-Georges-d'Oleron, Nouvelle-Aquitaine, France",70 EUR ,,589 EUR,"4,81 *",2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Wifi', 'Espace de travail dedie', 'Garage residentiel gratuit sur place\xa0: 1\xa0place', 'Television', 'Lave-linge (Gratuit) dans le logement', 'Patio ou balcon\xa0: prive(e)', 'Seche-cheveux', 'Refrigerateur']",https://www.airbnb.fr/rooms/841119034080802768?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1696866201_rNjXNYauMd8Z%2FjJ7&previous_page_section_name=1000&federated_search_id=6cc3d322-cf04-4f09-b3f5-b189af65d315,45.9719,-1.35,6,01/06/2024 - 30/09/2024,Saint-Georges-d'Oleron,841119034080802768,70,villa,"'cuisine', 'wifi', 'espace de travail dedie', 'garage residentiel gratuit sur place\xa0: 1\xa0place', 'television', 'lave-linge (gratuit) dans le logement', 'patio ou balcon\xa0: prive(e)', 'seche-cheveux', 'refrigerateur'"
