"title","Application déployée","Phase d'avancement","Statut","date Kick-off Interne","Code groupe DISE","Portail existant","date modelisation","date set up EWOCS/YODA","date set up MWM","date set up FUM par CDP","Renouvellement","date Formation Accès Interne","date Pilote Usage Interne","date Kick off Externe","application déployée","Chef de projet","date Formation Accès Externe","Nombres de lignes","date Pilote Usage Externe","date Vie de Solution","is archived"
"Sanofi","MWM, MWM","En vie de solution","Terminé","2020-02-17","006224","","2020-03-16","2020-03-20","2020-03-24","2020-03-17","","2020-03-23","2020-03-24","","MWM, MWM","Zohra Abdelmalek","2021-07-16",12000,"2021-07-16","2021-12-10","False"
"Engie- Cofely","MWM","","Actif ","","","","","","","","","","","","MWM","","",20000,"","","True"
"IBM","MWM, MWM","","Stand by","2020-03-04","010944","","2020-05-10","2020-05-10","2020-05-14","2020-05-21","","2020-06-30","2020-05-26","","MWM, MWM","Hadrien Robin","",6510,"","","True"
"Essilor","MWM, MWM","En vie de solution","Actif ","2020-03-04","1722","","2020-03-11","2020-04-16","2020-03-30","2020-04-30","","2020-05-07","2020-07-15","2020-07-28","MWM, MWM","Nathalie Marescot","2020-09-17",1300,"2020-11-06","2020-11-11","False"
"GRDF","MWM","En vie de solution","Actif ","2019-05-28","5697","","2019-06-10","2019-06-13","2019-06-17","2019-06-24","","2022-01-11","2022-01-12","2022-04-28","MWM","Yehan Salahun","2022-04-29",12000,"2022-05-12","2022-09-09","False"
"Opache","EWOCS","En vie de solution","Stand by","2019-07-11","010320;010321;010322;010323;010324;010325;010326;010327;010328;010329;010330;010331;010332;010333","","2018-12-31","","2019-06-20","2019-06-28","","2019-07-18","2019-07-12","","EWOCS","Elise Meffo","",166000,"2019-07-25","","False"
"ENGIE - BTOC (DMPA)","MWM","","Actif ","","","","","","","","","","","","MWM","","",700,"","","True"
"LVMH","EWOCS, EWOCS","En vie de solution","Terminé","","005797","","","","","","","","","","EWOCS, EWOCS","Myriam Lekkal","",11000,"","","False"
"Securitas","MWM","En vie de solution","Actif ","2020-07-08","000303; 006399; 009155","","2020-10-05","2020-10-12","2020-10-22","2020-10-22","","2020-10-19","2020-12-18","2021-01-21","MWM","Sébastien Yacono","2021-01-21",8000,"2021-01-22","2021-06-03","False"
"Sopra Steria","MWM","","Stand by","","","","","","","","","","","","MWM","","",5600,"","","True"
